image_id,style,gt_x,gt_y,candidate_count,nearest_candidate_x,nearest_candidate_y,nearest_candidate_distance,recall_5,recall_10,recall_25,recall_50,recall_75,recall_100
00001.png,DRAM,636.26,676.77,500,648.50,661.50,19.57,False,False,True,True,True,True
00002.png,DRAM,734.31,114.28,500,739.50,114.50,5.19,False,True,True,True,True,True
00003.png,FinFET,871.72,644.79,500,874.50,627.50,17.51,False,False,True,True,True,True
00004.png,DRAM,792.35,613.67,500,806.50,602.50,18.03,False,False,True,True,True,True
00005.png,DRAM,785.60,302.75,500,765.50,300.50,20.23,False,False,True,True,True,True
00006.png,FinFET,395.27,859.05,500,387.50,859.50,7.78,False,True,True,True,True,True
00007.png,DRAM,249.94,222.50,500,255.00,216.00,8.24,False,True,True,True,True,True
00008.png,DRAM,123.69,80.22,500,129.00,99.00,19.52,False,False,True,True,True,True
00009.png,DRAM,167.48,125.14,500,138.00,132.00,30.27,False,False,False,True,True,True
00010.png,DRAM,526.40,482.91,500,510.00,493.00,19.26,False,False,True,True,True,True
00011.png,FinFET,309.55,589.26,500,300.00,589.00,9.55,False,True,True,True,True,True
00012.png,DRAM,279.90,840.84,500,263.50,829.50,19.94,False,False,True,True,True,True
00013.png,FinFET,326.65,392.88,500,327.50,389.50,3.49,True,True,True,True,True,True
00014.png,FinFET,222.15,565.75,500,279.00,603.00,67.97,False,False,False,False,True,True
00015.png,FinFET,164.65,624.06,500,209.50,611.50,46.58,False,False,False,True,True,True
00016.png,FinFET,456.80,379.63,500,448.00,392.00,15.18,False,False,True,True,True,True
00017.png,FinFET,428.56,436.25,500,460.00,461.00,40.01,False,False,False,True,True,True
00018.png,FinFET,563.78,226.29,500,564.00,235.00,8.71,False,True,True,True,True,True
00019.png,DRAM,218.06,796.04,500,228.50,774.50,23.94,False,False,True,True,True,True
00020.png,FinFET,396.31,858.45,500,346.50,871.50,51.49,False,False,False,False,True,True
00021.png,DRAM,760.57,161.19,500,759.00,175.00,13.90,False,False,True,True,True,True
00022.png,FinFET,348.67,529.50,500,348.00,503.00,26.51,False,False,False,True,True,True
00023.png,FinFET,549.92,681.80,500,550.50,682.50,0.91,True,True,True,True,True,True
00024.png,DRAM,829.97,253.35,500,808.50,252.50,21.49,False,False,True,True,True,True
00025.png,DRAM,153.42,290.25,500,155.50,326.50,36.31,False,False,False,True,True,True
00026.png,DRAM,815.62,591.21,500,839.50,551.50,46.34,False,False,False,True,True,True
00027.png,DRAM,883.17,352.47,500,922.50,397.50,59.79,False,False,False,False,True,True
00028.png,DRAM,848.79,209.02,500,844.50,201.50,8.66,False,True,True,True,True,True
00029.png,DRAM,538.23,305.25,500,537.50,264.50,40.76,False,False,False,True,True,True
00030.png,DRAM,676.82,526.69,500,658.00,534.00,20.19,False,False,True,True,True,True
00031.png,FinFET,554.20,787.69,500,538.50,777.50,18.72,False,False,True,True,True,True
00032.png,FinFET,297.05,219.51,500,299.00,219.00,2.02,True,True,True,True,True,True
00033.png,FinFET,752.97,831.57,500,755.50,843.50,12.20,False,False,True,True,True,True
00034.png,FinFET,870.37,271.10,500,871.00,271.00,0.64,True,True,True,True,True,True
00035.png,FinFET,739.17,439.46,500,730.50,438.50,8.72,False,True,True,True,True,True
00036.png,DRAM,682.35,493.67,500,665.50,524.50,35.13,False,False,False,True,True,True
00037.png,DRAM,902.37,485.28,500,902.50,506.50,21.22,False,False,True,True,True,True
00038.png,FinFET,588.77,671.20,500,611.00,645.00,34.36,False,False,False,True,True,True
00039.png,FinFET,274.12,565.97,500,264.00,534.00,33.53,False,False,False,True,True,True
00040.png,DRAM,306.16,487.98,500,315.00,479.00,12.60,False,False,True,True,True,True
00041.png,FinFET,560.11,140.17,500,556.00,153.00,13.47,False,False,True,True,True,True
00042.png,DRAM,855.97,828.26,500,849.00,818.00,12.40,False,False,True,True,True,True
00043.png,DRAM,643.19,139.39,500,638.50,131.50,9.18,False,True,True,True,True,True
00044.png,DRAM,627.81,537.24,500,629.00,504.00,33.26,False,False,False,True,True,True
00045.png,FinFET,369.88,871.43,500,369.50,925.50,54.07,False,False,False,False,True,True
00046.png,DRAM,415.81,139.70,500,416.00,139.00,0.73,True,True,True,True,True,True
00047.png,DRAM,208.18,296.10,500,294.00,318.00,88.57,False,False,False,False,False,True
00048.png,FinFET,727.55,369.67,500,740.00,399.00,31.86,False,False,False,True,True,True
00049.png,DRAM,842.15,131.11,500,812.00,141.00,31.73,False,False,False,True,True,True
00050.png,FinFET,327.10,413.43,500,331.50,428.50,15.70,False,False,True,True,True,True
00051.png,FinFET,291.88,866.59,500,308.50,875.50,18.86,False,False,True,True,True,True
00052.png,DRAM,837.47,199.33,500,831.50,181.50,18.80,False,False,True,True,True,True
00053.png,FinFET,546.45,191.81,500,531.00,219.00,31.27,False,False,False,True,True,True
00054.png,FinFET,266.72,768.84,500,280.00,800.00,33.87,False,False,False,True,True,True
00055.png,DRAM,351.17,476.78,500,339.00,456.00,24.08,False,False,True,True,True,True
00056.png,FinFET,586.70,884.83,500,596.00,906.00,23.12,False,False,True,True,True,True
00057.png,DRAM,274.61,585.39,500,275.00,586.00,0.72,True,True,True,True,True,True
00058.png,FinFET,804.78,887.08,500,817.50,871.50,20.11,False,False,True,True,True,True
00059.png,FinFET,249.03,361.18,500,245.50,360.50,3.59,True,True,True,True,True,True
00060.png,DRAM,756.64,485.89,500,769.00,478.00,14.66,False,False,True,True,True,True
00061.png,FinFET,281.66,432.58,500,283.50,423.50,9.26,False,True,True,True,True,True
00062.png,DRAM,692.77,869.86,500,638.50,899.50,61.84,False,False,False,False,True,True
00063.png,FinFET,588.01,267.56,500,588.00,278.00,10.44,False,False,True,True,True,True
00064.png,DRAM,89.51,663.99,500,96.00,635.00,29.71,False,False,False,True,True,True
00065.png,FinFET,806.02,164.59,500,824.50,154.50,21.06,False,False,True,True,True,True
00066.png,DRAM,366.77,509.22,500,351.50,531.50,27.01,False,False,False,True,True,True
00067.png,FinFET,154.93,605.37,500,160.50,632.50,27.70,False,False,False,True,True,True
00068.png,FinFET,615.57,869.99,500,618.50,853.50,16.75,False,False,True,True,True,True
00069.png,DRAM,739.67,185.59,500,754.50,198.50,19.66,False,False,True,True,True,True
00070.png,FinFET,493.25,447.69,500,494.50,467.50,19.85,False,False,True,True,True,True
00071.png,FinFET,824.69,325.26,500,841.50,360.50,39.04,False,False,False,True,True,True
00072.png,FinFET,306.63,443.71,500,311.50,433.50,11.31,False,False,True,True,True,True
00073.png,FinFET,755.27,159.88,500,761.50,211.50,51.99,False,False,False,False,True,True
00074.png,FinFET,289.83,192.03,500,287.00,193.00,2.99,True,True,True,True,True,True
00075.png,DRAM,705.12,713.97,500,727.50,726.50,25.65,False,False,False,True,True,True
00076.png,FinFET,154.63,398.94,500,164.50,412.50,16.77,False,False,True,True,True,True
00077.png,DRAM,539.33,670.59,500,540.00,696.00,25.42,False,False,False,True,True,True
00078.png,FinFET,736.03,141.11,500,763.50,149.50,28.72,False,False,False,True,True,True
00079.png,DRAM,735.24,531.29,500,729.00,485.00,46.71,False,False,False,True,True,True
00080.png,DRAM,844.60,301.77,500,831.00,336.00,36.83,False,False,False,True,True,True
00081.png,DRAM,747.12,727.34,500,746.00,725.00,2.59,True,True,True,True,True,True
00082.png,DRAM,379.56,151.29,500,366.50,145.50,14.29,False,False,True,True,True,True
00083.png,FinFET,655.94,841.17,500,634.00,874.00,39.49,False,False,False,True,True,True
00084.png,DRAM,222.38,223.81,500,209.50,223.50,12.88,False,False,True,True,True,True
00085.png,FinFET,178.74,357.91,500,187.50,357.50,8.77,False,True,True,True,True,True
00086.png,DRAM,890.11,744.77,500,895.50,742.50,5.85,False,True,True,True,True,True
00087.png,FinFET,627.31,207.27,500,616.00,183.00,26.78,False,False,False,True,True,True
00088.png,FinFET,601.77,773.37,500,599.50,778.50,5.61,False,True,True,True,True,True
00089.png,FinFET,532.79,898.15,500,556.50,861.50,43.65,False,False,False,True,True,True
00090.png,FinFET,516.91,293.06,500,550.00,294.00,33.10,False,False,False,True,True,True
00091.png,DRAM,819.47,333.80,500,803.00,351.00,23.81,False,False,True,True,True,True
00092.png,FinFET,346.34,218.46,500,368.50,257.50,44.89,False,False,False,True,True,True
00093.png,DRAM,593.39,249.12,500,594.00,249.00,0.62,True,True,True,True,True,True
00094.png,DRAM,694.22,110.04,500,670.50,93.50,28.92,False,False,False,True,True,True
00095.png,FinFET,452.91,205.04,500,450.00,205.00,2.91,True,True,True,True,True,True
00096.png,DRAM,282.83,246.31,500,285.00,247.00,2.28,True,True,True,True,True,True
00097.png,DRAM,718.61,282.52,500,704.00,264.00,23.59,False,False,True,True,True,True
00098.png,FinFET,125.75,636.77,500,128.50,636.50,2.76,True,True,True,True,True,True
00099.png,DRAM,847.99,539.77,500,807.50,561.50,45.95,False,False,False,True,True,True
00100.png,DRAM,601.19,760.62,500,601.50,749.50,11.12,False,False,True,True,True,True
00101.png,FinFET,509.54,402.37,500,492.50,401.50,17.06,False,False,True,True,True,True
00102.png,DRAM,262.42,532.33,500,245.00,537.00,18.04,False,False,True,True,True,True
00103.png,FinFET,757.84,142.63,500,762.50,142.50,4.66,True,True,True,True,True,True
00104.png,FinFET,519.83,372.85,500,507.50,373.50,12.35,False,False,True,True,True,True
00105.png,DRAM,904.81,815.21,500,866.00,800.00,41.68,False,False,False,True,True,True
00106.png,DRAM,565.73,213.40,500,560.50,230.50,17.88,False,False,True,True,True,True
00107.png,DRAM,223.28,789.08,500,224.50,831.50,42.44,False,False,False,True,True,True
00108.png,FinFET,787.57,119.13,500,787.00,140.00,20.88,False,False,True,True,True,True
00109.png,FinFET,611.56,165.62,500,645.00,165.00,33.45,False,False,False,True,True,True
00110.png,DRAM,251.24,805.18,500,235.50,780.50,29.27,False,False,False,True,True,True
00111.png,DRAM,463.52,380.05,500,431.00,372.00,33.50,False,False,False,True,True,True
00112.png,DRAM,727.72,483.03,500,723.50,425.50,57.68,False,False,False,False,True,True
00113.png,DRAM,639.15,737.84,500,638.00,788.00,50.17,False,False,False,False,True,True
00114.png,DRAM,521.73,408.32,500,486.00,394.00,38.49,False,False,False,True,True,True
00115.png,DRAM,825.45,159.31,500,831.00,168.00,10.31,False,False,True,True,True,True
00116.png,DRAM,623.54,619.14,500,623.00,590.00,29.15,False,False,False,True,True,True
00117.png,FinFET,399.65,599.28,500,390.50,594.50,10.32,False,False,True,True,True,True
00118.png,FinFET,794.95,147.47,500,808.50,169.50,25.86,False,False,False,True,True,True
00119.png,FinFET,277.21,839.81,500,293.00,875.00,38.57,False,False,False,True,True,True
00120.png,DRAM,331.92,207.95,500,303.50,199.50,29.65,False,False,False,True,True,True
00121.png,DRAM,429.94,133.00,500,422.00,135.00,8.19,False,True,True,True,True,True
00122.png,FinFET,378.83,538.72,500,362.50,567.50,33.09,False,False,False,True,True,True
00123.png,FinFET,428.10,650.65,500,441.00,636.00,19.52,False,False,True,True,True,True
00124.png,DRAM,368.73,767.73,500,348.50,768.50,20.24,False,False,True,True,True,True
00125.png,FinFET,874.61,341.16,500,864.00,342.00,10.64,False,False,True,True,True,True
00126.png,FinFET,249.36,117.96,500,225.00,101.00,29.68,False,False,False,True,True,True
00127.png,FinFET,858.65,249.20,500,859.00,249.00,0.40,True,True,True,True,True,True
00128.png,FinFET,614.59,457.31,500,605.00,484.00,28.36,False,False,False,True,True,True
00129.png,FinFET,808.83,590.55,500,815.50,580.50,12.06,False,False,True,True,True,True
00130.png,DRAM,137.15,138.91,500,143.00,125.00,15.09,False,False,True,True,True,True
00131.png,FinFET,533.68,592.26,500,531.00,588.00,5.03,False,True,True,True,True,True
00132.png,DRAM,499.08,332.71,500,503.50,344.50,12.59,False,False,True,True,True,True
00133.png,FinFET,699.40,158.89,500,694.00,147.00,13.06,False,False,True,True,True,True
00134.png,FinFET,152.41,469.16,500,151.00,469.00,1.42,True,True,True,True,True,True
00135.png,FinFET,733.30,680.95,500,750.00,681.00,16.70,False,False,True,True,True,True
00136.png,DRAM,680.00,786.64,500,666.50,775.50,17.50,False,False,True,True,True,True
00137.png,DRAM,299.53,128.27,500,329.00,173.00,53.57,False,False,False,False,True,True
00138.png,DRAM,657.81,204.09,500,672.50,187.50,22.16,False,False,True,True,True,True
00139.png,FinFET,727.58,417.73,500,724.50,417.50,3.09,True,True,True,True,True,True
00140.png,FinFET,148.62,665.77,500,152.00,691.00,25.46,False,False,False,True,True,True
00141.png,FinFET,884.87,579.82,500,883.50,567.50,12.40,False,False,True,True,True,True
00142.png,FinFET,840.94,483.82,500,844.00,469.00,15.13,False,False,True,True,True,True
00143.png,DRAM,881.26,408.90,500,877.50,404.50,5.79,False,True,True,True,True,True
00144.png,FinFET,502.35,283.81,500,502.00,284.00,0.40,True,True,True,True,True,True
00145.png,DRAM,476.55,531.63,500,478.00,533.00,1.99,True,True,True,True,True,True
00146.png,FinFET,295.52,406.35,500,294.50,406.50,1.03,True,True,True,True,True,True
00147.png,DRAM,550.31,778.63,500,558.00,778.00,7.72,False,True,True,True,True,True
00148.png,DRAM,636.91,208.26,500,637.00,191.00,17.26,False,False,True,True,True,True
00149.png,DRAM,660.71,403.44,500,687.50,411.50,27.98,False,False,False,True,True,True
00150.png,FinFET,771.24,405.81,500,762.00,383.00,24.61,False,False,True,True,True,True
00151.png,DRAM,875.93,574.10,500,880.00,596.00,22.27,False,False,True,True,True,True
00152.png,FinFET,367.12,773.98,500,361.50,773.50,5.64,False,True,True,True,True,True
00153.png,FinFET,495.77,575.02,500,502.50,571.50,7.59,False,True,True,True,True,True
00154.png,FinFET,326.82,286.48,500,313.50,286.50,13.32,False,False,True,True,True,True
00155.png,FinFET,660.58,321.29,500,663.50,334.50,13.53,False,False,True,True,True,True
00156.png,FinFET,332.42,124.03,500,338.00,146.00,22.67,False,False,True,True,True,True
00157.png,FinFET,110.07,223.80,500,123.00,200.00,27.09,False,False,False,True,True,True
00158.png,DRAM,769.31,497.75,500,769.50,516.50,18.75,False,False,True,True,True,True
00159.png,DRAM,608.40,226.76,500,614.50,234.50,9.85,False,True,True,True,True,True
00160.png,FinFET,134.92,782.14,500,143.00,783.00,8.13,False,True,True,True,True,True
00161.png,FinFET,450.86,402.60,500,448.50,374.50,28.20,False,False,False,True,True,True
00162.png,FinFET,349.24,275.98,500,388.50,269.50,39.79,False,False,False,True,True,True
00163.png,FinFET,685.57,493.82,500,683.50,494.50,2.18,True,True,True,True,True,True
00164.png,FinFET,513.46,833.79,500,505.00,857.00,24.70,False,False,True,True,True,True
00165.png,FinFET,851.69,472.61,500,851.50,495.50,22.89,False,False,True,True,True,True
00166.png,FinFET,660.75,159.09,500,703.00,161.00,42.29,False,False,False,True,True,True
00167.png,DRAM,349.70,144.34,500,380.00,143.00,30.33,False,False,False,True,True,True
00168.png,FinFET,768.61,322.32,500,788.00,358.00,40.61,False,False,False,True,True,True
00169.png,DRAM,342.20,420.59,500,340.50,390.50,30.14,False,False,False,True,True,True
00170.png,FinFET,703.62,187.85,500,707.50,187.50,3.90,True,True,True,True,True,True
00171.png,DRAM,466.62,77.73,500,473.00,67.00,12.48,False,False,True,True,True,True
00172.png,FinFET,217.02,542.30,500,231.00,508.00,37.04,False,False,False,True,True,True
00173.png,FinFET,136.65,432.57,500,140.50,400.50,32.30,False,False,False,True,True,True
00174.png,FinFET,513.87,783.43,500,548.50,785.50,34.69,False,False,False,True,True,True
00175.png,FinFET,204.18,556.06,500,181.50,555.50,22.69,False,False,True,True,True,True
00176.png,DRAM,120.16,124.91,500,108.50,117.50,13.82,False,False,True,True,True,True
00177.png,DRAM,503.59,464.39,500,506.00,455.00,9.69,False,True,True,True,True,True
00178.png,DRAM,770.33,868.97,500,778.00,860.00,11.80,False,False,True,True,True,True
00179.png,FinFET,294.42,469.14,500,310.00,469.00,15.58,False,False,True,True,True,True
00180.png,DRAM,511.89,672.49,500,491.50,672.50,20.39,False,False,True,True,True,True
00181.png,DRAM,442.10,326.34,500,449.50,301.50,25.92,False,False,False,True,True,True
00182.png,FinFET,249.62,291.74,500,245.50,291.50,4.13,True,True,True,True,True,True
00183.png,DRAM,477.16,521.60,500,476.50,531.50,9.92,False,True,True,True,True,True
00184.png,DRAM,678.93,580.40,500,692.00,599.00,22.73,False,False,True,True,True,True
00185.png,FinFET,525.96,698.80,500,553.50,717.50,33.29,False,False,False,True,True,True
00186.png,DRAM,310.18,281.11,500,300.50,288.50,12.18,False,False,True,True,True,True
00187.png,DRAM,878.22,129.74,500,895.50,103.50,31.42,False,False,False,True,True,True
00188.png,DRAM,577.46,635.08,500,601.00,631.00,23.89,False,False,True,True,True,True
00189.png,DRAM,649.95,390.89,500,634.50,380.50,18.62,False,False,True,True,True,True
00190.png,DRAM,471.94,133.39,500,486.00,132.00,14.13,False,False,True,True,True,True
00191.png,DRAM,513.78,404.08,500,514.00,404.00,0.23,True,True,True,True,True,True
00192.png,FinFET,306.66,840.61,500,312.50,845.50,7.62,False,True,True,True,True,True
00193.png,FinFET,652.91,124.84,500,634.00,137.00,22.48,False,False,True,True,True,True
00194.png,FinFET,817.63,413.46,500,818.00,364.00,49.46,False,False,False,True,True,True
00195.png,FinFET,644.14,500.83,500,678.50,514.50,36.98,False,False,False,True,True,True
00196.png,DRAM,665.38,293.01,500,665.50,302.50,9.49,False,True,True,True,True,True
00197.png,DRAM,238.80,380.55,500,233.00,397.00,17.44,False,False,True,True,True,True
00198.png,DRAM,424.72,841.48,500,424.50,841.50,0.22,True,True,True,True,True,True
00199.png,FinFET,663.79,218.35,500,674.00,199.00,21.88,False,False,True,True,True,True
00200.png,DRAM,114.42,203.07,500,95.50,217.50,23.79,False,False,True,True,True,True
