image,style,gt_x,gt_y,num_candidates,min_dist_gt,best_cand_x,best_cand_y,pred_x,pred_y,pred_err,hit_5,hit_10,hit_25,hit_50,hit_75,hit_100,category
00001.png,DRAM,636.26,676.77,50,54.90,691.00,681.00,437.95,641.82,201.36,False,False,False,False,True,True,SUCCESS
00002.png,DRAM,734.31,114.28,50,220.67,826.00,315.00,827.94,426.91,326.35,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00003.png,FinFET,871.72,644.79,50,56.44,896.50,695.50,729.96,158.30,506.72,False,False,False,False,True,True,SUCCESS
00004.png,DRAM,792.35,613.67,50,189.68,739.50,431.50,791.50,52.50,561.17,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00005.png,DRAM,785.60,302.75,50,128.93,868.50,401.50,296.54,865.45,745.53,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00006.png,FinFET,395.27,859.05,50,178.73,574.00,859.00,586.08,283.06,606.77,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00007.png,DRAM,249.94,222.50,50,235.81,473.00,299.00,918.93,625.00,780.74,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00008.png,DRAM,123.69,80.22,50,83.72,48.00,116.00,226.12,383.91,320.50,False,False,False,False,False,True,SUCCESS
00009.png,DRAM,167.48,125.14,50,56.85,115.00,147.00,909.17,119.99,741.71,False,False,False,False,True,True,SUCCESS
00010.png,DRAM,526.40,482.91,50,27.23,500.50,474.50,311.56,932.35,498.15,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00011.png,FinFET,309.55,589.26,50,58.22,366.00,575.00,523.99,582.93,214.54,False,False,False,False,True,True,SUCCESS
00012.png,DRAM,279.90,840.84,50,52.37,255.50,794.50,514.39,594.42,340.16,False,False,False,False,True,True,SUCCESS
00013.png,FinFET,326.65,392.88,50,146.58,202.00,470.00,230.08,749.00,368.98,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00014.png,FinFET,222.15,565.75,50,358.44,266.00,210.00,50.43,84.43,511.03,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00015.png,FinFET,164.65,624.06,50,83.51,82.00,636.00,741.95,428.08,609.66,False,False,False,False,False,True,SUCCESS
00016.png,FinFET,456.80,379.63,50,135.55,591.50,364.50,482.50,156.50,224.61,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00017.png,FinFET,428.56,436.25,50,30.71,456.50,423.50,239.68,897.53,498.45,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00018.png,FinFET,563.78,226.29,50,26.22,590.00,226.00,511.01,929.98,705.67,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00019.png,DRAM,218.06,796.04,50,30.39,228.50,767.50,472.27,385.48,482.89,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00020.png,FinFET,396.31,858.45,50,76.72,472.00,871.00,601.93,448.94,458.24,False,False,False,False,False,True,SUCCESS
00021.png,DRAM,760.57,161.19,50,54.26,712.00,137.00,720.63,500.05,341.21,False,False,False,False,True,True,SUCCESS
00022.png,FinFET,348.67,529.50,50,15.80,339.00,542.00,367.27,477.26,55.46,False,False,True,True,True,True,SUCCESS
00023.png,FinFET,549.92,681.80,50,0.82,549.50,682.50,828.61,366.53,420.79,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00024.png,DRAM,829.97,253.35,50,62.77,767.50,259.50,499.52,462.33,390.98,False,False,False,False,True,True,SUCCESS
00025.png,DRAM,153.42,290.25,50,70.78,155.50,219.50,514.23,99.15,408.29,False,False,False,False,True,True,SUCCESS
00026.png,DRAM,815.62,591.21,50,92.96,822.50,498.50,941.32,597.46,125.86,False,False,False,False,False,True,SUCCESS
00027.png,DRAM,883.17,352.47,50,98.66,799.00,301.00,375.84,680.93,604.38,False,False,False,False,False,True,SUCCESS
00028.png,DRAM,848.79,209.02,50,14.72,863.50,208.50,73.53,624.54,879.59,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00029.png,DRAM,538.23,305.25,50,40.76,537.50,264.50,493.54,857.57,554.12,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00030.png,DRAM,676.82,526.69,50,77.43,750.00,552.00,677.90,123.98,402.72,False,False,False,False,False,True,SUCCESS
00031.png,FinFET,554.20,787.69,50,74.26,557.50,713.50,700.98,404.98,409.90,False,False,False,False,True,True,SUCCESS
00032.png,FinFET,297.05,219.51,50,2.02,299.00,219.00,274.04,218.97,23.02,True,True,True,True,True,True,FINE_SEARCH_FAILURE
00033.png,FinFET,752.97,831.57,50,72.83,769.50,902.50,879.05,923.91,156.28,False,False,False,False,True,True,SUCCESS
00034.png,FinFET,870.37,271.10,50,158.90,734.50,353.50,163.66,943.49,975.47,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00035.png,FinFET,739.17,439.46,50,55.64,706.50,484.50,54.19,662.59,720.41,False,False,False,False,True,True,SUCCESS
00036.png,DRAM,682.35,493.67,50,128.47,668.00,366.00,531.72,313.02,235.21,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00037.png,DRAM,902.37,485.28,50,28.19,930.50,483.50,56.45,688.56,870.01,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00038.png,FinFET,588.77,671.20,50,73.66,600.00,744.00,235.11,395.96,448.14,False,False,False,False,True,True,SUCCESS
00039.png,FinFET,274.12,565.97,50,178.00,255.00,389.00,209.50,952.50,391.89,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00040.png,DRAM,306.16,487.98,50,102.83,401.50,526.50,742.87,879.54,586.55,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00041.png,FinFET,560.11,140.17,50,12.88,559.00,153.00,549.98,370.88,230.94,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00042.png,DRAM,855.97,828.26,50,77.73,830.00,755.00,818.19,378.06,451.78,False,False,False,False,False,True,SUCCESS
00043.png,DRAM,643.19,139.39,50,139.91,779.00,173.00,823.02,625.91,518.69,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00044.png,DRAM,627.81,537.24,50,63.50,577.50,498.50,561.22,507.37,72.98,False,False,False,False,True,True,SUCCESS
00045.png,FinFET,369.88,871.43,50,173.93,369.50,697.50,379.58,201.47,670.03,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00046.png,DRAM,415.81,139.70,50,31.71,415.00,108.00,557.06,52.14,166.19,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00047.png,DRAM,208.18,296.10,50,222.65,393.50,419.50,572.46,428.47,387.58,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00048.png,FinFET,727.55,369.67,50,75.46,803.00,371.00,803.25,371.00,75.71,False,False,False,False,False,True,SUCCESS
00049.png,DRAM,842.15,131.11,50,79.88,922.00,129.00,483.97,848.13,801.50,False,False,False,False,False,True,SUCCESS
00050.png,FinFET,327.10,413.43,50,61.09,328.50,474.50,686.49,454.47,361.72,False,False,False,False,True,True,SUCCESS
00051.png,FinFET,291.88,866.59,50,167.59,125.50,846.50,570.27,490.57,467.86,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00052.png,DRAM,837.47,199.33,50,140.01,877.50,333.50,597.51,650.36,510.89,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00053.png,FinFET,546.45,191.81,50,87.10,559.00,278.00,65.84,300.96,492.85,False,False,False,False,False,True,SUCCESS
00054.png,FinFET,266.72,768.84,50,0.70,266.50,769.50,218.48,441.48,330.89,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00055.png,DRAM,351.17,476.78,50,32.52,382.50,485.50,53.28,436.47,300.61,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00056.png,FinFET,586.70,884.83,50,125.11,637.50,770.50,367.46,641.52,327.51,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00057.png,DRAM,274.61,585.39,50,91.03,227.50,507.50,447.01,586.89,172.41,False,False,False,False,False,True,SUCCESS
00058.png,FinFET,804.78,887.08,50,102.60,703.00,900.00,505.07,420.27,554.74,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00059.png,FinFET,249.03,361.18,50,3.59,245.50,360.50,396.44,242.59,189.19,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00060.png,DRAM,756.64,485.89,50,109.21,765.00,377.00,90.42,203.44,723.62,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00061.png,FinFET,281.66,432.58,50,90.95,222.50,363.50,589.45,844.40,514.13,False,False,False,False,False,True,SUCCESS
00062.png,DRAM,692.77,869.86,50,52.17,741.50,888.50,334.36,120.62,830.55,False,False,False,False,True,True,SUCCESS
00063.png,FinFET,588.01,267.56,50,10.44,588.00,278.00,812.91,399.96,260.98,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00064.png,DRAM,89.51,663.99,50,67.99,78.00,731.00,660.94,141.02,774.62,False,False,False,False,True,True,SUCCESS
00065.png,FinFET,806.02,164.59,50,54.48,812.50,110.50,52.00,950.00,1088.77,False,False,False,False,True,True,SUCCESS
00066.png,DRAM,366.77,509.22,50,98.70,394.50,414.50,862.57,573.46,499.95,False,False,False,False,False,True,SUCCESS
00067.png,FinFET,154.93,605.37,50,427.54,578.50,663.50,597.48,688.61,450.31,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00068.png,FinFET,615.57,869.99,50,139.61,662.50,738.50,904.74,438.49,519.43,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00069.png,DRAM,739.67,185.59,50,27.99,764.50,198.50,189.42,95.36,557.59,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00070.png,FinFET,493.25,447.69,50,109.87,579.00,379.00,680.00,408.93,190.73,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00071.png,FinFET,824.69,325.26,50,107.19,728.00,279.00,642.07,916.10,618.42,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
