sample_id,architecture,true_x,true_y,lattice_x,lattice_y,ncc_neighbor_x,ncc_neighbor_y,gradient_similarity,ssim_similarity,low_frequency_similarity,identifiable
00001.png,DRAM,636.26,676.77,150.00,67.00,-0.2457,0.2354,-0.3852,-0.2299,-0.0311,True
00002.png,DRAM,734.31,114.28,150.00,67.00,-0.2988,0.6716,-0.1309,-0.2704,0.0757,True
00003.png,FinFET,871.72,644.79,150.00,67.00,0.0000,-0.4239,0.0000,0.0000,0.0000,True
00004.png,DRAM,792.35,613.67,150.00,67.00,-0.1620,-0.4775,0.1587,-0.1411,0.1934,True
00005.png,DRAM,785.60,302.75,67.00,150.00,0.0123,-0.4806,-0.2354,0.0253,0.4644,True
00006.png,FinFET,395.27,859.05,150.00,67.00,0.7860,-0.4241,0.5827,0.7905,0.8728,True
00007.png,DRAM,249.94,222.50,67.00,150.00,-0.1964,-0.1800,-0.2935,-0.1801,-0.0626,True
00008.png,DRAM,123.69,80.22,67.00,150.00,-0.1095,-0.0412,0.0638,-0.0885,0.0873,True
00009.png,DRAM,167.48,125.14,67.00,150.00,-0.0680,0.4315,0.1171,-0.0397,0.1309,True
00010.png,DRAM,526.40,482.91,67.00,150.00,-0.0750,0.1972,-0.1247,-0.0603,-0.3724,True
00011.png,FinFET,309.55,589.26,150.00,67.00,-0.3296,-0.3676,-0.1308,-0.2980,-0.3646,True
00012.png,DRAM,279.90,840.84,150.00,67.00,-0.0329,0.1775,0.0573,-0.0128,0.2222,True
00013.png,FinFET,326.65,392.88,150.00,67.00,0.7593,0.7117,0.5749,0.7605,0.7574,True
00014.png,FinFET,222.15,565.75,150.00,67.00,0.5658,0.5423,0.1965,0.5740,0.1757,True
00015.png,FinFET,164.65,624.06,150.00,67.00,0.5599,-0.3525,0.3103,0.5686,0.8543,True
00016.png,FinFET,456.80,379.63,150.00,67.00,0.0726,0.3309,0.1224,0.0874,-0.1553,True
00017.png,FinFET,428.56,436.25,150.00,67.00,-0.0114,-0.4546,0.1114,0.0125,0.2792,True
00018.png,FinFET,563.78,226.29,150.00,67.00,0.7468,-0.2500,0.3590,0.7504,0.2952,True
00019.png,DRAM,218.06,796.04,150.00,67.00,-0.7021,-0.1918,0.2075,-0.6708,-0.3425,True
00020.png,FinFET,396.31,858.45,150.00,67.00,0.8111,0.7027,0.7169,0.8120,0.8826,False
00021.png,DRAM,760.57,161.19,67.00,150.00,-0.4301,-0.0815,0.2466,-0.4079,-0.1696,True
00022.png,FinFET,348.67,529.50,67.00,150.00,0.2827,-0.3670,0.0222,0.2997,0.5343,True
00023.png,FinFET,549.92,681.80,150.00,67.00,0.2071,-0.4509,-0.3155,0.2199,0.1519,True
00024.png,DRAM,829.97,253.35,67.00,150.00,0.0060,0.3915,-0.3169,0.0211,0.1894,True
00025.png,DRAM,153.42,290.25,150.00,67.00,-0.6107,-0.6988,0.0812,-0.5934,-0.2268,True
00026.png,DRAM,815.62,591.21,150.00,67.00,0.0000,-0.3406,0.0000,0.0000,0.0000,True
00027.png,DRAM,883.17,352.47,67.00,150.00,0.1390,0.6488,0.2381,0.1504,0.3135,True
00028.png,DRAM,848.79,209.02,67.00,150.00,0.6613,0.8897,0.2465,0.6649,0.7803,True
00029.png,DRAM,538.23,305.25,67.00,150.00,0.4762,-0.3656,-0.0357,0.4898,0.7040,True
00030.png,DRAM,676.82,526.69,67.00,150.00,0.7120,0.0501,0.3207,0.7186,0.3989,True
